HEA Phase Dataset v1d,,,,,,,,,,,,,,,,
Alloy_ID,Alloy,Num_of_Elem,VEC,Atom.Size.Diff,Elect.Diff,dHmix,dSmix,,Sythesis_Route Hot-Cold_Working Homog_Temp,,Homog_Time,Anneal_Temp,Anneal_Time,Quench_Proc,Phases,References
Alloy 0075,HfNbTaTiZr,5,4.4,4.01,0.12,2.72,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2015.12.017
Alloy 0076,HfNbTaTiZr,5,4.4,4.01,0.12,2.72,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2015.12.017
Alloy 0077,HfNbTaTiZr,5,4.4,4.01,0.12,2.72,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2015.12.017
Alloy 0078,HfNbTaTiZr,5,4.4,4.01,0.12,2.72,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2015.12.017
Alloy 0079,HfNbTaZr,4,4.5,3.95,0.12,3.5,11.53,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.actamat.2016.01.018
Alloy 0080,HfTaTiZr,4,4.25,4.8518,0.104,1.75,11.53,AC,-,-,-,-,-,-,BCC_SS,10.1002/adma.201701678
Alloy 0081,Mo0.1NbTiV0.3Zr,5,4.44,6.0825,0.1604,0.7958,11.62,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matdes.2015.06.072
Alloy 0082,Mo0.3NbTiV0.3Zr,5,4.53,6.2007,0.2137,-0.2778,12.32,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matdes.2015.06.072
HEA Phase Dataset v1d,,,,,,,,,,,,,,,,
Alloy 0083,Mo0.3NbTiVZr,5,4.6,7.0071,0.1973,-1.2547,12.83,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matdes.2015.06.072
Alloy 0084,Mo0.5NbTiV0.3Zr,5,4.61,6.2806,0.2477,-1.1357,12.65,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matdes.2015.06.072
Alloy 0085,Mo0.5NbTiVZr,5,4.67,6.9694,0.2281,-1.7778,13.15,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matdes.2015.06.072
Alloy 0086,Mo0.7NbTiV0.3Zr,5,4.68,6.3319,0.2716,-1.825,12.8,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matdes.2015.06.072
Alloy 0087,Mo0.7NbTiVZr,5,4.72,6.926,0.2506,-2.2091,13.31,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matdes.2015.06.072
Alloy 0088,Mo1.3NbTiV0.3Zr,5,4.85,6.3755,0.3122,-3.1947,12.72,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matdes.2015.06.072
Alloy 0089,Mo1.3NbTiVZr,5,4.87,6.7749,0.2916,-3.1043,13.33,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matdes.2015.06.072
Alloy 0090,Mo1.5NbTiV0.3Zr,5,4.9,6.366,0.3198,-3.4896,12.61,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matdes.2015.06.072
Alloy 0091,MoNbTaTi0.25W,5,5.41,2.4858,0.3631,-6.1453,12.71,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2017.12.004
Alloy 0092,MoNbTaTi0.5W,5,5.11,3.6874,0.2491,-2.8642,13.15,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2017.12.004
